,titulo,fecha,texto
0,‘No estamos para situaciones extremas ni terquedades”: Carrasquilla,2021-04-28,"

Contenido cierto
Encuentra la validación de El Cazamentiras al final de la noticia.





Seleccione el creador del articulo en configuracion del este modulo


S.


ECONOMÍA Y NEGOCIOS
Hora de publicación del artículo





Nombre del autor
Hora de publicación del artículo




EY


27 de abril 2021, 01:35 P. M.



OA

Omar Gerardo Ahumada Rojas
27 de abril 2021, 01:35 P. M.





Seguir
Sectores


Regístrate o inicia sesión para seguir
tus temas favoritos.





Comentar




Guardar

Ingrese o regístrese acá
para guardar los artículos en su
zona de usuario y leerlos cuando quiera



Este artículo ya fue guardado
Para consultarlo en otro momento, visite su zona de usuario.


Artículo guardado
Para consultarlo en otro momento, visite su zona de usuario.


El artículo no pudo ser guardado, intente nuevamente



Reportar


Portada




Precedida de voces que piden no tramitar el proyecto de reforma tributaria y de propuestas para hacer profundos cambios a la iniciativa que presentó el Gobierno hace unas semanas al Congreso, este martes el ministro de Hacienda, Alberto Carrasquilla, hizo la presentación ante las comisiones conjuntas terceras y cuartas del Congreso el proyecto de la iniciativa legislativa.Le puede interesar:  Qué cambiar y qué conservar en la reforma tributariaY más allá de recordar las razones imperativas para que el país ajuste sus cuentas luego del golpe de la pandemia y siga atendiendo a la población más afectada por este choque, el funcionario fue claro en exponer el objetivo que tiene el Gobierno de buscar un consenso que permita sacar adelante la iniciativa.“No estamos aquí para poner situaciones extremas ni para tener terquedades en materia de lo que el Congreso de la República encuentre razonable y en lo que el Congreso no encuentre razonable tenemos que ser ágiles en aceptar esa razonabilidad democrática”, indico Carrasquilla.(Lea también: ‘Carrasquilla resultó más peligroso que la pandemia’: Gaviria)El Ministro agregó que hasta la fecha se han recibido diversas comunicaciones escritas y verbales, ante las cuales el equipo económico del Gobierno está dedicado a hacer los estimativos de cada propuesta, para presentarlos en la fase de negociación, conciliación y acuerdo democrático.También le recomendamos: ¿Qué dicen los sindicatos para defender la marcha en pleno pico?Eso sí, Carrasquilla recalcó que el Gobierno no tiene improvisación en el proyecto, que se construyó durante varios meses. “Me parece que parte del diálogo debe tener en cuenta también algunos de los puntos esenciales encontrados en los diferentes frentes de discusión”, añadió.URGENTE : POR DECISIÓN DE BANCADA DE SENADO Y CAMARA DEL PARTIDO LIBERAL : Primero atender la pandemia y no votar la reforma tributaria : expresidente César Gaviria Trujillo . @PartidoLiberal #ReformaTributaria #RetirenLaReforma pic.twitter.com/Hg7x8tnPhi— Partido Liberal (@PartidoLiberal) April 27, 2021 Y destacó que el país debe tener claro que si no se tiene una rápida construcción de consenso, “aceptable para todas la partes, vamos a tener dificultades”, toda vez que en su palabras, la emergencia del covid-19 no se ha acabado, pero sí se están terminando la vigencia y los recursos para programas claves como Ingreso Solidario y el Programa de Apoyo al Empleo Formal (Paef), este último incluso ya expiró.Una vez el funcionario terminó la explicación del proyecto, sobre el que pidió consultar la exposición de motivos para el trabajo de construcción de consensos, el presidente de la Comisión Tercera de la Cámara, Néstor Leonardo Rico (Cambio Radical), quien presidió la sesión de las comisiones conjuntas, sostuvo que las cámaras legislativas estarán a las reuniones para que los coordinares y ponentes “puedan comenzar a armar el proyecto necesita Colombia”.Una vez hecha la presentación del Gobierno se prevé este grupo de parlamentarios conozca en los próximos días la ponencia para primera debate, que con seguridad incorporará diversos elementos, entre ellos las propuestas del expresidente Álvaro Uribe, pero también los de la Andi, Fedesarrollo, Anif y las de los partidos políticos.Encuentre también en Economía:Por alta demanda, reducen a cero el arancel para importar oxígenoLas cláusulas abusivas, por aerolínea, que encontró la SupertransporteDólar rompe la barrera de los $ 3.700 este martes






EY


27 de abril 2021, 01:35 P. M.



OA

Omar Gerardo Ahumada Rojas
27 de abril 2021, 01:35 P. M.





Seguir
Sectores


Regístrate o inicia sesión para seguir
tus temas favoritos.





Comentar




Guardar

Ingrese o regístrese acá
para guardar los artículos en su
zona de usuario y leerlos cuando quiera



Este artículo ya fue guardado
Para consultarlo en otro momento, visite su zona de usuario.


Artículo guardado
Para consultarlo en otro momento, visite su zona de usuario.


El artículo no pudo ser guardado, intente nuevamente



Reportar


Portada




Relacionados:



Ministerio de Hacienda


Reforma fiscal


Covid-19


Pandemia por el coronavirus


Ingreso solidario 2021









"
1,Empieza pulso en el Congreso por reforma tributaria,2021-04-28,"

Contenido cierto
Encuentra la validación de El Cazamentiras al final de la noticia.





Seleccione el creador del articulo en configuracion del este modulo


S.


ECONOMÍA Y NEGOCIOS
Hora de publicación del artículo





Nombre del autor
Hora de publicación del artículo




EY


27 de abril 2021, 11:56 A. M.



OA

Omar Gerardo Ahumada Rojas
27 de abril 2021, 11:56 A. M.





Seguir
Sectores


Regístrate o inicia sesión para seguir
tus temas favoritos.





Comentar




Guardar

Ingrese o regístrese acá
para guardar los artículos en su
zona de usuario y leerlos cuando quiera



Este artículo ya fue guardado
Para consultarlo en otro momento, visite su zona de usuario.


Artículo guardado
Para consultarlo en otro momento, visite su zona de usuario.


El artículo no pudo ser guardado, intente nuevamente



Reportar


Portada




En medio de los diversos llamados a concertar alrededor de un proyecto de reforma fiscal que permita al país manejar los estragos de la pandemia, este martes el Gobierno presenta ante las comisiones conjuntas de Senado y Cámara el proyecto que se radicó hace unas semanas.(Le sugerimos: Qué cambiar y qué conservar en la reforma tributaria)Desde las 10 de la mañana, el ministro de Hacienda, Alberto Carrasquilla, hace la presentación de la iniciativa, sobre la que el expresidente Álvaro Uribe, líder natural del Centro Democrático, explicó en EL TIEMPO los principales puntos de la propuesta sustitutiva.Más noticias de Economía: - Dólar rompe la barrera de los $ 3.700 este martes- Las cláusulas abusivas, por aerolínea, que encontró la Supertransporte






EY


27 de abril 2021, 11:56 A. M.



OA

Omar Gerardo Ahumada Rojas
27 de abril 2021, 11:56 A. M.





Seguir
Sectores


Regístrate o inicia sesión para seguir
tus temas favoritos.





Comentar




Guardar

Ingrese o regístrese acá
para guardar los artículos en su
zona de usuario y leerlos cuando quiera



Este artículo ya fue guardado
Para consultarlo en otro momento, visite su zona de usuario.


Artículo guardado
Para consultarlo en otro momento, visite su zona de usuario.


El artículo no pudo ser guardado, intente nuevamente



Reportar


Portada




Relacionados:



Impuestos


Reforma fiscal


pandemia


Reforma tributaria 2021









"
2,En vivo: presidente de la CGT habla del paro de este 28 de abril,2021-04-28,"



Regístrate o inicia sesión para seguir
tus temas favoritos.


SEGUIR BOGOTÁ



Bogotá
27 de abril de 2021 , 09:22 a. m.


User Admin

En vivo: presidente de la CGT habla del paro de este 28 de abrilPercy Oyola, presidente CGT, explica por qué mantienen movilización y qué prevenciones se tomaron.







"
3,Presidente de la CGT habla del paro de este 28 de abril,2021-04-28,"

Contenido cierto
Encuentra la validación de El Cazamentiras al final de la noticia.





Seleccione el creador del articulo en configuracion del este modulo


S.


Economía y Negocios
Hora de publicación del artículo





Nombre del autor
Hora de publicación del artículo




EY


27 de abril 2021, 09:17 A. M.



AG

Andres Felipe Galindo Fernandez
27 de abril 2021, 09:17 A. M.





Seguir
Sectores


Regístrate o inicia sesión para seguir
tus temas favoritos.





Comentar




Guardar

Ingrese o regístrese acá
para guardar los artículos en su
zona de usuario y leerlos cuando quiera



Este artículo ya fue guardado
Para consultarlo en otro momento, visite su zona de usuario.


Artículo guardado
Para consultarlo en otro momento, visite su zona de usuario.


El artículo no pudo ser guardado, intente nuevamente



Reportar


Portada




Este martes, Percy Oyola, el presidente de la Confederación General del Trabajo, habla en vivo con EL TIEMPO sobre el paro que se tiene programado para este miércoles 28 de abril.Aunque diversos sectores han insistido en que se aplace la movilización, los líderes de la protesta aseguran que se adelantará como se ha venido planteando desde principios de abril con todos los protocolos de bioseguridad.(Le sugerimos: 'Las marchas son en este momento un atentado a la vida': Claudia López)Este lunes, las organizaciones integrantes del Comité del Paro dieron sus motivos para salir a protestar. Aseguran que ""el gobierno negacionista"" no les deja otra opción y saldrán a protestar y rechazar la reforma tributaria, el asesinato sistemático de líderes sociales y la falta de renta básica.(Lea también: Los políticos que están a favor y en contra del paro del 28 de abril)El Ministerio de Salud solicitó aplazar las movilizaciones ante el incremento de casos y muertes en el país por covid-19. El ministro Fernando Ruíz hizo un llamado a los colectivos y convocantes de las actividades del paro a “unirse a este esfuerzo común como sociedad por reducir la velocidad de la transmisión”.(Le puede interesar: ‘Congreso y Gobierno pueden llegar a la mejor solución’: Iván Duque sobre la reforma tributaria)""En este momento crítico es claro que las aglomeraciones podrían incrementar el contagio, especialmente con la evidencia actual de linajes más contagiosos"", indicó Minsalud.En la rueda de prensa, los integrantes del Comité del Paro enfatizaron en que toda forma de protesta conservará medidas de bioseguridad como el distanciamiento y el uso obligatorio del tapabocas. ""Con tapabocas derrotemos la reforma tributaria"", dijeron.(Lea también: ¿Cuáles son los cinco pecados capitales de esta reforma tributaria?)El presidente de la Central Unitaria de Trabajadores de Colombia (CUT), Francisco Maltés Tello, confirmó que, además de las movilizaciones, habrá otras expresiones de protesta. ""Vamos a sacar trapos rojos para simbolizar el hambre, vamos a poner carteles en las ventanas de las casas, vamos a hacer un cacerolazo a las 8 de la noche y vamos a mover el tema en redes"".William Velandia, de Fecode, habló sobre los intereses de los docentes a nivel nacional. Confirmó su presencia en la protesta y aseguró que ""nunca se han negado a las clases presencial (...) pedimos condiciones de bioseguridad para regresar a las aulas"".El Comité Nacional del Paro se reunirá en la tarde del mismo 28 de abril para evaluar cómo continúa el paro nacional. Así lo confirmó el presidente de la CUT. Por el momento, el paro solo sería el 28 de abril, pero aún está por decidirse.ECONOMÍA Y NEGOCIOS






EY


27 de abril 2021, 09:17 A. M.



AG

Andres Felipe Galindo Fernandez
27 de abril 2021, 09:17 A. M.





Seguir
Sectores


Regístrate o inicia sesión para seguir
tus temas favoritos.





Comentar




Guardar

Ingrese o regístrese acá
para guardar los artículos en su
zona de usuario y leerlos cuando quiera



Este artículo ya fue guardado
Para consultarlo en otro momento, visite su zona de usuario.


Artículo guardado
Para consultarlo en otro momento, visite su zona de usuario.


El artículo no pudo ser guardado, intente nuevamente



Reportar


Portada




Relacionados:



Fecode


CUT


Comité del paro


CGT









"
4,"Por alta demanda, reducen a cero el arancel para importar oxígeno",2021-04-28,"

Contenido cierto
Encuentra la validación de El Cazamentiras al final de la noticia.





Seleccione el creador del articulo en configuracion del este modulo


S.


portafolio
Hora de publicación del artículo





Nombre del autor
Hora de publicación del artículo




PO


27 de abril 2021, 08:52 A. M.



OA

Omar Gerardo Ahumada Rojas
27 de abril 2021, 08:52 A. M.





Seguir
Sectores


Regístrate o inicia sesión para seguir
tus temas favoritos.





Comentar




Guardar

Ingrese o regístrese acá
para guardar los artículos en su
zona de usuario y leerlos cuando quiera



Este artículo ya fue guardado
Para consultarlo en otro momento, visite su zona de usuario.


Artículo guardado
Para consultarlo en otro momento, visite su zona de usuario.


El artículo no pudo ser guardado, intente nuevamente



Reportar


Portada




Hasta el próximo 31 de mayo, Colombia tendrá 0% de arancel en la importación de oxígeno, medida que fue adoptada por el Gobierno nacional por las recientes necesidades que tiene el país, y por recomendación del Comité de Asuntos Aduaneros, Arancelarios y de Comercio Exterior (Triple A).Así se estableció a través del Decreto 423 del 23 de abril del 2021, en el que señala además que la medida estará vigente hasta tanto se mantenga la emergencia sanitaria, es decir el 31 de mayo próximo.La determinación también rige para los concentradores de oxígeno que se importen y el decreto señala que los aranceles a los que se refiere este decreto no modifican ningún programa de desgravación preferencial vigente en Colombia.(Le puede interesar:  Qué cambiar y qué conservar en la reforma tributaria)“En el marco de las necesidades de esta emergencia sanitaria derivada del covid-19, el ministerio de Comercio tomó la decisión del diferimiento arancelario, es decir la reducción del arancel del 5% al 0% para oxígeno y sus concentradores y así podemos dar respuesta a una necesidad que tiene el país para responder al coronavirus”, explicó José Manuel Restrepo, ministro de Comercio, Industria y Turismo.En el primer bimestre del año, el país importó 20,3 toneladas de oxígeno, que equivale a 17.731 dólares, principalmente de Ecuador y Estados Unidos y durante todo el 2020 las importaciones sumaron 8,7 toneladas, por 89.659 dólares. Los principales proveedores son Estados Unidos y Bélgica.Encuentre también en Economía:Las cláusulas abusivas, por aerolínea, que encontró la SupertransporteBancos tienen $ 43 billones en créditos para reactivación de pymesAsí puede aplicar a las nuevas ofertas de trabajo de Arturo Calle






PO


27 de abril 2021, 08:52 A. M.



OA

Omar Gerardo Ahumada Rojas
27 de abril 2021, 08:52 A. M.





Seguir
Sectores


Regístrate o inicia sesión para seguir
tus temas favoritos.





Comentar




Guardar

Ingrese o regístrese acá
para guardar los artículos en su
zona de usuario y leerlos cuando quiera



Este artículo ya fue guardado
Para consultarlo en otro momento, visite su zona de usuario.


Artículo guardado
Para consultarlo en otro momento, visite su zona de usuario.


El artículo no pudo ser guardado, intente nuevamente



Reportar


Portada




Relacionados:



Importaciones


Aranceles


Pandemia por el coronavirus


oxígeno









"
5,"En siete meses se han movido 9,5 millones de pasajeros",2021-04-28,"

Contenido cierto
Encuentra la validación de El Cazamentiras al final de la noticia.





Seleccione el creador del articulo en configuracion del este modulo


S.


ECONOMÍA Y NEGOCIOS
Hora de publicación del artículo





Nombre del autor
Hora de publicación del artículo




EY


26 de abril 2021, 08:46 P. M.



MA

María Fernanda Arbeláez
26 de abril 2021, 08:46 P. M.





Seguir
Sectores


Regístrate o inicia sesión para seguir
tus temas favoritos.





Comentar




Guardar

Ingrese o regístrese acá
para guardar los artículos en su
zona de usuario y leerlos cuando quiera



Este artículo ya fue guardado
Para consultarlo en otro momento, visite su zona de usuario.


Artículo guardado
Para consultarlo en otro momento, visite su zona de usuario.


El artículo no pudo ser guardado, intente nuevamente



Reportar


Portada




Desde que el pasado 1.º de septiembre se reactivaron los vuelos comerciales en el país, suspendidos debido a la pandemia, se han movilizado 9,54 millones de viajeros en los aeropuertos colombianos, al corte del mes de marzo.La Aeronáutica Civil señaló este lunes que en marzo volaron 2,07 millones de pasajeros (368.000 en vuelos internacionales y 1,7 millones en vuelos nacionales). Y aunque la entidad indicó que fueron 10 millones de viajeros en siete meses, los 9,54 millones salen de sumar estos 2,07 millones de marzo con los 7,45 millones de viajeros reportados entre septiembre y febrero en las estadísticas mensuales que publica la misma entidad en su página de internet(Le puede interesar: Centrales obreras confirman que sí habrá paro este miércoles)Así, en siete meses se han reportado 7,53 millones de viajeros nacionales y 1,98 millones internacionales.El aeropuerto El Dorado, en Bogotá, es la terminal que más ha registrado movimiento, con 5’900.000 personas. Le siguen el de Rionegro, en Antioquia, con 2 millones de pasajeros, y Cali, con 1’600.000. Estos mismos tres aeropuertos fueron los que más movilizaron viajeros a destinos internacionales. Marzo es el mes en el que se ha registrado mayor flujo de pasajeros, con 1,7 millones, cifra que coincide con la temporada de Semana Santa. “Este balance demuestra que el transporte aéreo se ha venido consolidando, de manera paulatina, como un factor determinante para la reactivación económica del país, favoreciendo renglones tan importantes como el turismo y el comercio”, indicó Ángela María Orozco, ministra de Transporte.(Además: Formulan cargos a aerolíneas por cláusulas que perjudican a usuarios)Transporte de cargaA nivel internacional se han movilizado 363.000 toneladas por vía aérea. De estas, 315.000 corresponden al aeropuerto El Dorado; 37.000, al de Rionegro, y 5.000, al aeropuerto Ernesto Cortissoz. (Le recomendamos leer: La empresa colombiana que más cuida la felicidad de sus empleados)“Desde la reactivación de los servicios aéreos comerciales, el transporte de carga ha representado un elemento fundamental para reactivar la economía de todas las regiones del país y el resto del mundo”, dijo Juan Carlos Salazar Gómez, director de la Aerocivil.También le puede interesar:- ¿Cuáles son los cinco pecados capitales de esta reforma tributaria?- ‘Tenemos que pensar en reformas tributarias para toda la región’: BID- Temas de competencia, las multas más costosas impuestas a las empresasECONOMÍA Y NEGOCIOS






EY


26 de abril 2021, 08:46 P. M.



MA

María Fernanda Arbeláez
26 de abril 2021, 08:46 P. M.





Seguir
Sectores


Regístrate o inicia sesión para seguir
tus temas favoritos.





Comentar




Guardar

Ingrese o regístrese acá
para guardar los artículos en su
zona de usuario y leerlos cuando quiera



Este artículo ya fue guardado
Para consultarlo en otro momento, visite su zona de usuario.


Artículo guardado
Para consultarlo en otro momento, visite su zona de usuario.


El artículo no pudo ser guardado, intente nuevamente



Reportar


Portada




Relacionados:



Aerocivil


Viajeros


Pasajeros









"
6,Formulan cargos a aerolíneas por cláusulas que perjudican a usuarios,2021-04-28,"

Contenido cierto
Encuentra la validación de El Cazamentiras al final de la noticia.





Seleccione el creador del articulo en configuracion del este modulo


S.


Economía y Negocios
Hora de publicación del artículo





Nombre del autor
Hora de publicación del artículo




EY


26 de abril 2021, 08:45 P. M.



AG

Andres Felipe Galindo Fernandez
26 de abril 2021, 08:45 P. M.





Seguir
Sectores


Regístrate o inicia sesión para seguir
tus temas favoritos.





Comentar




Guardar

Ingrese o regístrese acá
para guardar los artículos en su
zona de usuario y leerlos cuando quiera



Este artículo ya fue guardado
Para consultarlo en otro momento, visite su zona de usuario.


Artículo guardado
Para consultarlo en otro momento, visite su zona de usuario.


El artículo no pudo ser guardado, intente nuevamente



Reportar


Portada




Cláusulas que exoneran la responsabilidad de las aerolíneas por daños al equipaje de usuarios, contratos en idiomas distintos, cláusulas que permiten a la aerolínea cambiar unilateralmente el precio anunciado o las condiciones de un vuelo. Eso fue lo que encontró la Superintendencia de Transporte al revisar contratos celebrados entre aerolíneas que prestan sus servicios en Colombia.(Lea también: Temas de competencia, las multas más costosas impuestas a las empresas)La entidad formuló cargos a 26 aerolíneas que operan en el país por presuntamente incluir cláusulas en sus contratos que perjudican a los usuarios.""Es la primera vez que se analizan los contratos de todas las aerolíneas que operan en el país"", explicó Supertransporte en un comunicado.(Le puede interesar: Centrales obreras confirman que sí habrá paro este miércoles)En caso de que las aerolíneas sean encontradas responsables, las sanciones pueden llegar hasta los 2.000 s. m. m. l. v. (salarios mínimos mensuales legales vigentes).La investigación del ente de control revisó la información publicada en las páginas web de las empresas y realizó requerimientos a las aerolíneas.(Le sugerimos: ¿Cuáles son los cinco pecados capitales de esta reforma tributaria?)Sobre la formulación de cargos a 26 aerolíneas, el Superintendente de Transporte, Camilo Pabón Almanza, manifestó que “esta es una de las actuaciones más trascendentales para el país, pues no se trata de una publicidad en concreto o un problema puntual, sino de las cláusulas que se les están imponiendo a todos los consumidores del país al comprar su tiquete"".Esta es la lista de aerolíneas a las que Supertransporte formuló cargos: Aerolíneas Argentinas, Aeroméxico, Air Canada, Air Europa, Air France, Air Transat, American Airlines, Avianca, Avior Airlines, Copa Airlines, Delta Air Lines, Easyfly, GCA Airlines, Iberia, Jetblue, KLM, Latam, Jetsmart, Regional Express, Satena, Sky Airline, Spirit Airlines, Turkish Airlines, United Airlines, Viva Air y Wingo.(Le recomendamos leer: Superindustria no ve conveniente la alianza entre Bavaria y Coca Cola)Más hallazgos Si bien a las 26 aerolíneas se les abrieron investigaciones por presuntamente incluir cláusulas perjudiciales para los usuarios, hay dos casos en que se encontraron otro tipo de presuntas infracciones que afectan los derechos del consumidor.En el caso de Regional Express Américas S. A. S., filial de Avianca Holdings, a la empresa se le encontró una presunta infracción, toda vez que no habría cumplido con su obligación de habilitar en el medio de comercio electrónico el contrato de transporte, para que los usuarios puedan acceder a su información, descargarlo e imprimirlo en cualquier momento.Asimismo, en cuanto a la empresa Jetblue Airways Corporation, el cargo fue formulado por la presunta infracción de la normatividad, al presentar el texto del contrato de transporte aéreo en idioma distinto del castellano.Estas dos firmas son encontradas responsables, cada una podría ser sancionada con una multa de hasta 443 salarios mínimos mensuales legales vigentes, un poco más de 402 millones de pesos.De acuerdo con el superintendente, Camilo Pabón Almanza, todas las empresas deben revisar y ajustar sus actuaciones frente a cada capítulo de la ley del consumidor.La Superintendencia de Transporte cumplió ya dos años de haber asumido funciones de proteger a los usuarios del servicio de transporte aéreo y, de acuerdo con la entidad, uno los capítulos más importantes de la ley de protección del consumidor tiene relación con las cláusulas que podrían afectar los derechos de los usuarios.Por ello, antes de la apertura formal de la investigación a estas 26 aerolíneas, la entidad adelantó averiguaciones preliminares durante varios meses para determinar si en los contratos de transporte que celebran las aerolíneas con los consumidores habría alguna condición o cláusula que pudiera considerarse fuera de la norma.ECONOMÍA Y NEGOCIOSMás recomendados de Economía‘Congreso y Gobierno pueden llegar a la mejor solución’: Iván Duque‘Tenemos que pensar en reformas tributarias para toda la región’: BIDBancolombia abre nuevas vacantes con contrato a término indefinido






EY


26 de abril 2021, 08:45 P. M.



AG

Andres Felipe Galindo Fernandez
26 de abril 2021, 08:45 P. M.





Seguir
Sectores


Regístrate o inicia sesión para seguir
tus temas favoritos.





Comentar




Guardar

Ingrese o regístrese acá
para guardar los artículos en su
zona de usuario y leerlos cuando quiera



Este artículo ya fue guardado
Para consultarlo en otro momento, visite su zona de usuario.


Artículo guardado
Para consultarlo en otro momento, visite su zona de usuario.


El artículo no pudo ser guardado, intente nuevamente



Reportar


Portada




Relacionados:



Avianca


Aerolíneas


Sanciones


Latam


Supertransporte









"
