,titulo,fecha,texto
0,Microcrédito nunca bajó intereses en la pandemia,2021-04-28,"
Aunque pese a la pandemia el crédito no ha dejado de fluir y el microcrédito en particular ha registrado una buena dinámica, los intereses de esa modalidad no han bajado como las de los demás.(Lea: Cuatro consejos para usar una tarjeta de crédito sabiamente)De hecho, lo que ha pasado es que el costo de esos microcréditos ha subido en los últimos 13 meses un 1,5% en promedio, de acuerdo con los datos que consolida la Superintendencia Financiera.(Lea: ¿Qué plazo conviene más a la hora de pagar un préstamo?)
sas.cmd.push(function() { sas.call(""std"", { siteId: sas_siteId, pageId: sas_pageId, formatId: 9343, target: sas_target });});Por su parte, los demás tipos de créditos dirigidos a personas, hogares y empresas han registrado disminuciones en sus tasas de interés, hecho que ha estado relacionado con las siete disminuciones consecutivas que decretó el Banco de la República el año pasado para estimular la economía.De acuerdo con Asobancaria, “el microcrédito creció al 18,7% nominal anual entre 2010 y 2015, principalmente, por el aumento del techo de usura, algo que no pudo ser replicado en los cinco años siguientes”. No obstante, este crédito a microempresas pasó de $3,8 billones en 2010 a $13,4 billones al cierre de 2020.Para el presidente del gremio, Hernando José Gómez, a lo largo de la pandemia en este tipo de créditos no se observó reducción en las tasas de interés y eso tiene que ver con el deterioro que se observó en la cartera. Explicó que, incluso, hubo un aumento.El dirigente gremial dijo que “hacia adelante un reto importante para el sector financiero es conocer los datos de los microempresarios y con las tecnologías disponibles poder tener información que abarate el costo del crédito y llegar a niveles más bajos en la pirámide”.LAS CIFRASDe acuerdo con la Superintendencia Financiera, con corte al pasado 16 de abril, las tasas de interés promedio de las diferentes modalidades de crédito correspondientes al período de aislamiento, es decir después del 6 de marzo de 2020 registraron una reducción.Los créditos otorgados a las empresas, en particular los de tesorería, son los que más se benefician con una disminución promedio de 299 puntos básicos (2,99 puntos porcentuales).Siguieron, según la Superfinanciera, los intereses de las tarjetas corporativas que bajan 272 puntos básicos (2,72 puntos porcentuales)."
1,“Ya estamos ‘sold out’ en los palcos del Arena del Río”,2021-04-28,"
En noviembre del año pasado, y con la presencia del presidente Iván Duque, se hizo el lanzamiento de Arena del Río, un megaescenario de eventos que abrirá sus puertas en 2024 en Barranquilla y que se convertirá en el mayor centro de entretenimiento de Latinoamérica.​(Le puede interesar: Anuncian plataforma para aplicar a los empleos de Arena del Río)Tatyana Orozco, presidente de Arena del Río, conversó con Portafolio sobre lo que será el proyecto, que a 3 años y medio de su lanzamiento ya agotó todos los palcos puestos a la venta.
sas.cmd.push(function() { sas.call(""std"", { siteId: sas_siteId, pageId: sas_pageId, formatId: 9343, target: sas_target });});¿En qué punto está hoy el proyecto?En estos momentos estamos trabajando de la mano con la Alcaldía de Barranquilla, terminando el plan parcial, que nos va a permitir arrancar construcción antes de finalizar el año y poder estar inaugurando en 2024. Este, más que una arena es un distrito de entretenimiento, porque tendrá casino, arena, hotel, apartamentos, comercio, todos los servicios para que la gente vaya a entretenerse. Nos soñamos un mundo pospandemia en donde volvamos a encontrarnos y esperamos que la Arena sea el sitio perfecto para esto.Este será un espacio para impulsar la economía naranja y las industrias culturales y hemos trabajado con instituciones como ProColombia y ProBarranquilla, porque también queremos ser un centro de producción musical y de contenidos audiovisuales.¿Cómo va la venta de los palcos? Tenemos una noticia muy importante. Estamos sold out en todos los palcos que sacamos a la venta en Arena del Río. Sacamos a la venta 6.048 sillas, de un total de 8.640, es decir el 70%, y dejamos un grupo importante para convenios corporativos con empresas que quieran tener una presencia en la Arena, pero lo importante ahora es que están ya agotados los palcos que teníamos para venta en Arena del Río, es el gran hito hasta el momento.Son más de 230 palcos de 16 personas, 50 palcos de 32, dos de 64 y uno de 128. Hicimos una alianza con Fiduciaria Bancolombia, y ya la gente está pagando, tres años y medio ante del lanzamiento. El éxito en la venta demuestra la confianza de un país que está apostando al futuro y desarrollo de Barranquilla y de Colombia.Además, próximamente vamos a salir a la venta de 160 apartamentos que tendremos que serán parte del hotel, de los cuales ya tenemos reservados 80.¿Cuáles servicios encontrarán los visitantes e inversionistas? La arena no solo es un escenario, sino un distrito de entretenimiento. El espacio más grande estará ocupado por una arena para 53.000 personas. Habrá democratización de las boletas, pues si se contrata un gran artista se divide el costo entre 53.000, lo que implicará una boleta más asequible. La arena no será solo para conciertos, sino para deportes, desde Monster Trucks hasta tener a la Selección Colombia jugando.Adaptamos nuestro espacio para la postpandemia. Vamos a tener el estándar FIFA, lo que exige es un espacio de 45 cm, pero vamos a tener sillas de 70 cm con espaldar en toda la arena.Además, vamos a tener 500 habitaciones de hotel y 150 de apartamento vinculadas al hotel, que estarán al servicio de los turistas. También estará el casino y cerca de 25.000 m2 de zonas comerciales, principalmente con restaurantes y espacios de entretenimiento.¿Cómo se administrarán estos espacios? Nuestro aliado estratégico es Umusic Hotels, una alianza entre Universal Music Group y Dakia U-Ventures que va a empezar a operar hoteles en diversas partes del mundo y en nuestro caso es el primero que anuncian en América Latina. Ellos serán los encargados de operar la arena y el hotel. Aecom será el gerente del proyecto, contamos con el apoyo de ellos, que son grandes expertos en el diseño y ejecución de arenas en el mundo. ¿Cuántos empleos se generarán con la Arena?Estamos estimando que la inversión del proyecto será de unos US$470 millones a lo largo de toda su construcción, todo es privado, y con capital extranjero, y esperamos generar unos 10.000 empleos entre directos e indirectos.Algo importante es que habilitamos una plataforma, Magneto, para que las personas vinculen sus hojas de vida en nuestra página web y puedan participar de los diferentes procesos.¿Cuánto podría impulsar este complejo a la economía regional? Estamos en estos momentos adelantando un estudio para tener una valoración más detallada, pero creemos que esto va a jalonar otros proyectos, no solo en industrias creativas, sino también hotelería, todo el turismo se va a ver muy impactado. Este sería el escenario más grande a América Latina, y además con distrito de entretenimiento.Hemos hablado también con las personas de Puerta de Oro, el centro de convenciones, y lo ven como una ventaja para atraer más eventos no solo a Barranquilla, sino también Cartagena y Santa Marta."
2,TransMilenio reanuda su operación,2021-04-28,"
Debido a los problemas que han tenido los capitalinos para regresar sus hogares antes del toque de queda, TransMilenio anunció la reapertura de su servicio para brindar alternativas de movilidadEn la tarde, la alcaldesa de Bogotá, Claudia López, había anunciado el cierre anticipado de la operación de desde las 5:00 p.m., por lo que pidió a la ciudadanía iniciar el regreso a casa desde las 2:00 p.m.Siga minuto a minuto el desarrollo de las movilizaciones.     
sas.cmd.push(function() { sas.call(""std"", { siteId: sas_siteId, pageId: sas_pageId, formatId: 9343, target: sas_target });});(8:00 p.m.)En distintos puntos de la ciudad los bogotanos se manifiestan en contra de la reforma tributaria con cacerolazos.Cacerolazo en Bogotá #CiudadSalitre, #Cacerolazo28A#NoALaReformaUribista #NoALaReformaTributaria pic.twitter.com/DD5Fi6QWRN— Camila (@camiro_24) April 29, 2021 (7:27 p.m.)  Con el objetivo de brindar alternativas de movilidad a los ciudadanos que a esta hora se encuentran regresando a sus hogares, TransMilenio S.A. prestará el servicio a través del componente troncal y zonal hasta garantizar el retorno en los siguientes tramos:#TMAhora (7:27 p.m.) Con el objetivo de brindar alternativas de movilidad a los ciudadanos que a esta hora se encuentran regresando a sus hogares, TransMilenio S.A. prestará el servicio a través del componente troncal y zonal hasta garantizar el retorno en los siguientes tramos: pic.twitter.com/LsvCxly4M8— TransMilenio (@TransMilenio) April 29, 2021 (5:00 p.m.) Según orden de la Alcaldía de Bogotá, el sistema TransMilenio cierra a esta hora su operación. (3:40 p.m.) Ciudadanos de Bogotá buscan medios para llegar a casa ante cierre anticipado de TM. Reportan regresos en camiones, furgones y vehículos particulares, mientras la mayoría de estaciones del sistema permanecen cerradas por bloqueos.(3:36 p.m.) Reporte #11 con corte de las 3:30 p.m. #TMahora (3:36 p.m.) Reporte #11 @TransMilenio / 28 de abril 2021 pic.twitter.com/HL3SIFbZoZ— TransMilenio (@TransMilenio) April 28, 2021 (1:49 p.m.) Reporte #10 de TransMilenio#TMahora (1:49 p.m.) Reporte #10 @TransMilenio / 28 de abril 2021 pic.twitter.com/kbXcBDQllC— TransMilenio (@TransMilenio) April 28, 2021 (12:50 p.m.) La Alcaldesa Claudia López pidió regresar a casa a partir de las 2:00 p.m. y anunció que el sistema TransMilenio cerrará desde las 5:00 p.m.Quiero pedirle a los ciudadanos que por su cuidado y salud, empiecen a regresar a sus casas el día de hoy, a partir de las 2:00 P.M. Les ruego no esperar hasta el final de la tarde para regresar, el sistema @TransMilenio cerrará desde las 5:00 P.M. Retornen con tranquilidad. pic.twitter.com/K9sLYRd7pk— Claudia López 👍 (@ClaudiaLopez) April 28, 2021 (11:16 a.m.) Reporte #8 con corte de las 11:15 a.m. #TMahora (11:16 a.m.) Reporte #8 @TransMilenio / 28 de abril 2021 pic.twitter.com/Sjztg6rYr1— TransMilenio (@TransMilenio) April 28, 2021 (10:20 a.m.) Reporte de servicio con corte 10:20 a.m. Miércoles 28 de abril 2021Reporte de servicio con corte 10:20 a.m. Miércoles 28 de abril 2021 pic.twitter.com/MlNPK1zfBc— TransMilenio (@TransMilenio) April 28, 2021 (10:07 a.m.) Por manifestaciones en 1 de mayo con carrera 10 TransMilenio deja de operar las estaciones de Bicentenario, San Bernardo, Policarpa, Ciudad Jardín-UAN, Av. 1ro de Mayo, Country Sur y Portal 20 de Julio. #TMahora (10:07 a.m.)Por manifestaciones en 1 de mayo con carrera 10, al momento realizamos retornos operativos en estación Bicentenario y dejamos de operar:📍Bicentenario📍San Bernardo📍Policarpa📍Ciudad Jardín-UAN📍Av. 1ro de Mayo 📍Country Sur📍Portal 20 de Julio pic.twitter.com/Ps91uJjAZR— TransMilenio (@TransMilenio) April 28, 2021 (9:30 a.m.) Reporte de operación en TransMilenio con corte 9:30 a.m. Reporte de operación en TransMilenio con corte 9:30 AM pic.twitter.com/Jnhx4VtMtO— TransMilenio (@TransMilenio) April 28, 2021 (9:22 a.m.) Por manifestaciones ajenas a la operación sobre la Troncal Calle 26 se dejan de atender: Portal ElDorado, Modelia, Normandía, Avenida Rojas, El Tiempo-Maloka, Salitre-El Greco, CAN, Gobernación, Quinta Paredes, Recinto Ferial, Ciudad Universitaria. (8:55 p.m.) Se mantiene cerrado el Portal 80 y las estaciones de TransMilenio de Quirigua, Carrera 90. Además se anuncia el cierre de la Carrera 90, Av. Cali, Granja,  Cra. 77, Minuto de Dios, Boyacá, Ferias, Av. 68, Carrera 53, Carrera 47 y Escuela Militar. #TMahora (8:40 p.m.)Se mantienen cerradas:📍Portal 80📍Quirigua📍Carrera 90Se cierran en este momento:📍Carrera 90📍Av. Cali📍Granja Cra. 77📍Minuto de Dios📍Boyacá📍Ferias📍Av. 68📍Carrera 53📍Carrera 47📍Escuela Militar pic.twitter.com/5KkU57RDN7— TransMilenio (@TransMilenio) April 28, 2021 (8:50) Se suspenden operaciones en Portal Américas y en las estaciones Biblioteca Tintal y Patio Bonito. (8:45 a.m.) Autoridades reportan manifestación en la calle 26 con carrera 33 frente a la Universidad Nacional, sentido Oriente- Occidente. Se genera afectación de la calzada.(8:05 a.m.) Se presenta alta congestión vehicular en el corredor de la Avenida Ciudad de Cali con transversal 91 sentido Norte-Sur, por bloqueos presentados por habitantes del sector. Autoridades realizan acompañamiento.(7:13 a.m.) TransMilenio informa que a esta hora se encuentran cerrados el Portal Usme y las estaciones Molinos, Socorro y Consuelo, en el sur de Bogotá.#TMahora (7:13 a.m.)En el momento se encuentran cerrados:📍Portal Usme📍Molinos📍Socorro📍Consuelo https://t.co/kS8sqM07e1 pic.twitter.com/IiCnCu2CjX— TransMilenio (@TransMilenio) April 28, 2021 (6:07 a.m.) Se cancela la alimentación en Portal Usme y estación Molinos. Además hay cierres a la altura de la estación Socorro. (5:41 a.m.) TransMilenio informó que las estaciones de Campiña, Tv. 91 y 21 Ángeles, de la Troncal Suba, no operan por manifestaciones, así las rutas alimentadoras al Portal Suba.#TMahora (5:41 a.m.)Si te movilizas por la Troncal Suba, te informamos que por manifestaciones ajenas a la operación no se presta servicio en:📍Campiña📍Tv. 91📍21 Ángeles📍Alimentación Portal SubaLos buses hacen retorno en 21 Ángeles pic.twitter.com/qgpJfYCtbQ— TransMilenio (@TransMilenio) April 28, 2021 "
3,Habrá tercera dosis a los 9 o 12 meses: Pfizer,2021-04-28,"
Las multinacionales Pfizer y BioNTech informaron que después de nueve meses de haberse aplicado la segunda dosis o al año de la misma es recomendable aplicarse una tercera dosis para mantener la máxima inmunidad, pues a partir del séptimo mes la resistencia tiende a bajar.(Lea: Colombia registró casi 500 muertes diarias por Covid este miércoles)Y la empresa fue más allá: luego del año se requieren refuerzos cada 12 a 18 meses. La firma recordó que la máxima efectividad de su fármaco (97%) no se alcanza hasta siete días después de haber recibido la segunda dosis.
sas.cmd.push(function() { sas.call(""std"", { siteId: sas_siteId, pageId: sas_pageId, formatId: 9343, target: sas_target });});Las declaraciones las hizo el fundador y director del laboratorio BioNTech, Ugur Sahin, quien dijo que ‘confía’ también en la eficacia de su vacuna, frente a la variante india de la covid-19. LA SPUTNIK AL PAÍSPara traer la vacuna Sputnik V, el Gobierno ha realizado negociaciones con los proveedores desde el 16 de octubre de 2020. El ministro de Salud, Fernando Ruiz, precisó que “se han realizado reuniones después para conocer las características técnicas y de eficacia. Firmamos un acuerdo de confidencialidad en febrero de 2021 y el Fondo de Inversión Directa de Rusia nos indicó que haría la propuesta de venta y de fechas de posibles entregas una vez se obtuviera el reglamento”. Ya se llevó a cabo una cita del Fondo de Inversión Ruso con el Invima y los diferentes proveedores frente a la posibilidad de lograr el ‘Uso de Emergencia’, que esta pendiente de trámite.OXÍGENOAnte el incremento en la demanda del oxígeno medicinal por la covid-19, el Gobierno trabaja en aumentar la oferta. En Colombia se producen 618 toneladas por día de oxígeno líquido y gaseoso, y se destinan a uso medicinal e industrial, con ellos se podría atender 21.600 camas de Unidades de Cuidado Intensivo (UCI).Así que “se acordó que toda la producción de oxígeno líquido sea para uso medicinal”, indicó Ruiz, y agregó que se expidió un acto administrativo que establece cero arancel al oxígeno y a concentradores del mismo. Adicionalmente se trabaja en utilizar los sobrantes de oxígeno líquido que produce la industria del acero para que sea de uso medicinal."
4,Colombia registró casi 500 muertes diarias por Covid este miércoles,2021-04-28,"
Tras procesar 50.125 pruebas PCR y 34.201 de antígenos en las últimas 24 horas, el Ministerio de Salud confirmó este miércoles 19.745 nuevos casos. Con esta cifra, el número total de casos en Colombia llegó a 2.824.626. Así mismo, se reportaron 490 fallecimientos más por covid-19, lo que elevó a 72.725 el total de muertes en el país por este virus. Por su parte, el número de recuperados ascendió a 2.632.699.  En Colombia actualmente hay 109.794 casos activos.
sas.cmd.push(function() { sas.call(""std"", { siteId: sas_siteId, pageId: sas_pageId, formatId: 9343, target: sas_target });});#ReporteCOVID19 28 de abril:15.878 recuperados19.745 nuevos casos490 fallecidosMuestras: 84.326PCR: 50.125Antígeno: 34.201Total:2.632.699 recuperados2.824.626 casos 72.725 fallecidos 14.626.169 muestras procesadas109.794 casos activoshttps://t.co/SiKTpTCQ3W pic.twitter.com/KD39d7YSzD— MinSaludCol (@MinSaludCol) April 28, 2021 "
5,Asocapitales y el sector privado en el Valle rechazan actos vandálicos,2021-04-28,"
Por medio de un comunicado, el sector privado del Valle, señaló que respeta la protesta social realizada en forma pacífica y ordenada en el marco de la ley y la Constitución pero que “rechaza los desórdenes, actos vandálicos y los daños al patrimonio público y privado, que vulneran los derechos de los demás y además destruyen la armonía y convivencia pacífica”, dijeron.
sas.cmd.push(function() { sas.call(""std"", { siteId: sas_siteId, pageId: sas_pageId, formatId: 9343, target: sas_target });});El sector gremial, el sector empresarial y las organizaciones de la sociedad entre los que está el comité gremial empresarial del valle, Propacífico, Invest Pacific , Cali Valle Bureau y la Unidad de Acción Vallecaucana apuntó que los bloqueos presentados en las vías de diferentes municipios, en Cali y Buenaventura, afectan los derechos a la libre movilidad, la salud y el abastecimiento de bienes esenciales de la ciudadanía e interrumpen la reactivación.La Asociación Colombiana de Ciudades Capitales, Asocapitales, también se unió al  rechazo de los hechos de alteración al orden público, así como las afectaciones a los bienes y establecimientos públicos que se presentaron durante las marchas.“Para los alcaldes de las ciudades capitales, las aglomeraciones que se presentaron, producto de las movilizaciones, han puesto en riesgo la vida de los colombianos, ante la alerta que atraviesa el país por el acelerado nivel de contagios de Covid-19”, apuntaron.El Presidente de Asocapitales y alcalde de Montería, Carlos Ordosgoitia, insistió en la importancia de extremar el cuidado para proteger la vida, por lo que invitó a defender los ideales y convicciones de manera pacífica y con el mayor sentido de responsabilidad y autocuidado."
6,Asobancaria rechazó actos violentos contra clientes y entidades,2021-04-28,"
La Asociación Bancaria rechazó los actos vandálicos de los que fueron víctimas clientes y empleados de diferentes establecimientos públicos, comerciales y bancarios en Cali.“El derecho a la protesta es muy importante para nuestra sociedad, pero le pedimos a los ciudadanos que no ataquen y vandalicen las oficinas y los locales de las empresas y los comercios, porque se empañan las manifestaciones de la ciudadanía”, expresó Hernando José Gómez, presidente de Asobancaria.
sas.cmd.push(function() { sas.call(""std"", { siteId: sas_siteId, pageId: sas_pageId, formatId: 9343, target: sas_target });});De igual manera, la asociación pide que la jornada termine de manera pacífica y que no se olvide el uso de elementos de protección como el tapabocas o el distanciamiento social, para evitar agravar los contagios y la crisis de salud pública que actualmente enfrenta el país por cuenta de la covid-19."
7,Avanza iniciativa para extender subsidio a la nómina hasta diciembre,2021-04-28,"
Aunque el Gobierno lo planteó en la reforma tributaria, el Congreso avanza de forma paralela en un proyecto de ley para extender el subsidio de nómina hasta diciembre de este año.
sas.cmd.push(function() { sas.call(""std"", { siteId: sas_siteId, pageId: sas_pageId, formatId: 9343, target: sas_target });});Precisamente, este miércoles se aprobó por unanimidad en primer debate esa iniciativa que busca extender el Programa de Apoyo al Empleo Formal, que se terminó en marzo de este año y fue implementado desde el año pasado con la pandemia. Cabe recordar, por otro lado, que el Gobierno planteó en el proyecto de reforma tributaria extender el Paef por tres meses más, debido al efecto de la pandemia en las empresas. Por ahora, el proyecto de ley debe seguir su curso en el Congreso y para ser aprobado debe pasar por las plenarias del Legislativo."
